#interaction	gene1	Egene2	dir	sign	biogrid	pubmed
hiv_ppi	E155871	E22933	0	0	biogrid	pmids:15719057
hiv_ppi	E155348	E7411	0	0	biogrid	pmids:17698809
hiv_ppi	E156110	E4067	0	0	biogrid	pmids:16374509
hiv_ppi	E155908	E4928	0	0	biogrid	pmids:12228227
hiv_ppi	E1029	E155871	0	0	biogrid	pmids:18418067
hiv_ppi	E155871	E50804	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E54815	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E54476	0	0	biogrid	pmids:12600646:15367624
hiv_ppi	E10642	E155030	0	0	biogrid	pmids:18385235
hiv_ppi	E155871	E50809	0	0	biogrid	pmids:19454010
hiv_ppi	E10992	E155807	0	0	biogrid	pmids:16923959
hiv_ppi	E155871	E4869	0	0	biogrid	pmids:19454010
hiv_ppi	E10528	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155348	E7316	0	0	biogrid	pmids:21454548:21454661
hiv_ppi	E155871	E64151	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E30827	0	0	biogrid	pmids:19454010
hiv_ppi	E155971	E6885	0	0	biogrid	pmids:22341466
hiv_ppi	E10318	E156110	0	0	biogrid	pmids:9923610
hiv_ppi	E155871	E7528	0	0	biogrid	pmids:19454010
hiv_ppi	E155945	E7316	0	0	biogrid	pmids:17445772:22090097
hiv_ppi	E155945	E23291	0	0	biogrid	pmids:17121803
hiv_ppi	E155871	E3609	0	0	biogrid	pmids:19454010
hiv_ppi	E11091	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E23013	0	0	biogrid	pmids:19454010
hiv_ppi	E155908	E9883	0	0	biogrid	pmids:12228227
hiv_ppi	E155871	E22985	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E26057	0	0	biogrid	pmids:17609381
hiv_ppi	E155871	E51631	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5905	0	0	biogrid	pmids:19454010
hiv_ppi	E10197	E155459	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E1915	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E57674	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5901	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E55813	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E8932	0	0	biogrid	pmids:19454010
hiv_ppi	E155971	E967	0	0	biogrid	pmids:10708443
hiv_ppi	E155971	E966	0	0	biogrid	pmids:10708443
hiv_ppi	E155871	E5928	0	0	biogrid	pmids:19454010
hiv_ppi	E10556	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E60489	0	0	biogrid	pmids:19560422
hiv_ppi	E10015	E155030	0	0	biogrid	pmids:19282983:14505569:17350572:18032513:20929444
hiv_ppi	E156110	E920	0	0	biogrid	pmids:11264384:8599760:20179761
hiv_ppi	E155945	E7037	0	0	biogrid	pmids:22090097
hiv_ppi	E156110	E375	0	0	biogrid	pmids:15202998
hiv_ppi	E155030	E7070	0	0	biogrid	pmids:10708443
hiv_ppi	E155871	E171017	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E7316	0	0	biogrid	pmids:15063744
hiv_ppi	E156110	E4690	0	0	biogrid	pmids:16374509
hiv_ppi	E155807	E155807	0	0	biogrid	pmids:20824083
hiv_ppi	E155871	E2071	0	0	biogrid	pmids:10082552:9334327
hiv_ppi	E155871	E6601	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E26574	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E317772	0	0	biogrid	pmids:11080476
hiv_ppi	E155807	E9927	0	0	biogrid	pmids:22438978
hiv_ppi	E11097	E155807	0	0	biogrid	pmids:12228227
hiv_ppi	E155871	E9584	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E23304	0	0	biogrid	pmids:22190037
hiv_ppi	E155348	E6612	0	0	biogrid	pmids:21454548
hiv_ppi	E155348	E6613	0	0	biogrid	pmids:21454548
hiv_ppi	E140609	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E156110	E2771	0	0	biogrid	pmids:23071112
hiv_ppi	E155459	E8065	0	0	biogrid	pmids:19588889:18499212:15574593:22190037:22190036:17135358:19109396:14564014:15574592:17898068:16530799:20463065:20532212:20592083:18562529:22379088:15781449:18326044:22479405:16636053:17869271
hiv_ppi	E155871	E904	0	0	biogrid	pmids:10082552:16687403:11080476:19454010:16893449:11282025
hiv_ppi	E155807	E5886	0	0	biogrid	pmids:9371639:11259200:9636371
hiv_ppi	E155807	E5887	0	0	biogrid	pmids:9371639
hiv_ppi	E155030	E7329	0	0	biogrid	pmids:15613319
hiv_ppi	E155871	E902	0	0	biogrid	pmids:9334327
hiv_ppi	E155871	E55193	0	0	biogrid	pmids:20368734:19454010
hiv_ppi	E155871	E27067	0	0	biogrid	pmids:19454010
hiv_ppi	E1024	E155871	0	0	biogrid	pmids:9121429
hiv_ppi	E155871	E83852	0	0	biogrid	pmids:18498648
hiv_ppi	E155871	E26986	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E9978	0	0	biogrid	pmids:15781449
hiv_ppi	E155871	E55299	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E9739	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E8607	0	0	biogrid	pmids:19454010
hiv_ppi	E10051	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E7251	0	0	biogrid	pmids:12767222:14581525:12900394:21304933:21070952:16434471:11595185:14722278:11427703:21159863:18439901:14581576:12006492:12379843:16138902:17182674
hiv_ppi	E155871	E3608	0	0	biogrid	pmids:19454010
hiv_ppi	E155945	E8945	0	0	biogrid	pmids:17445772:20442859:17676996:22090097:17121803:14674748:16165251
hiv_ppi	E155971	E3140	0	0	biogrid	pmids:10708443
hiv_ppi	E155459	E60489	0	0	biogrid	pmids:22190037:19109396:14564014:18680593:21279453:20335268:18326044:18499212:19887642:14528301:18619467:15781449:20592083:12859895:21071676:22379088:14672928:19535447:15611076:14614829:21228271:17135358:15574592:15574593:16530799:19088851:22369580:19535450
hiv_ppi	E155871	E26092	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E8467	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6419	0	0	biogrid	pmids:18498648
