#interaction	Egene1	Egene2	dir	sign	biogrid	pubmed
Phosphorylation	E1119	E64798	1	0	biogrid	pmids:22017875
Phosphorylation	E25	E1796	1	0	biogrid	pmids:9008161
Ubiquitination	E10273	E1576	1	0	biogrid	pmids:19103148
Ubiquitination	E10273	E1571	1	0	biogrid	pmids:21209460
Ubiquitination	E5429	E7316	1	0	biogrid	pmids:21890473:22056306:16763556:21791603:16357261:21139048:22118674:22505724:20129057:21906983
Phosphorylation	E5591	E2648	1	0	biogrid	pmids:9488450
Phosphorylation	E1025	E1283	1	0	biogrid	pmids:14580347:18566585:22592529:22379099
Phosphorylation	E57787	E4134	1	0	biogrid	pmids:14594945
Phosphorylation	E57787	E4137	1	0	biogrid	pmids:14594945
Phosphorylation	E57787	E4133	1	0	biogrid	pmids:14594945
Phosphorylation	E4217	E23162	1	0	biogrid	pmids:12189133
Phosphorylation	E6790	E53615	1	0	biogrid	pmids:12354758
Sumoylation	E7341	E57062	1	0	biogrid	pmids:15561718
Phosphorylation	E207	E7534	1	0	biogrid	pmids:16027165:11956222
Ubiquitination	E253260	E6446	1	0	biogrid	pmids:20832730
Phosphorylation	E55872	E3014	1	0	biogrid	pmids:17145805
Phosphorylation	E6850	E6521	1	0	biogrid	pmids:10605028
Ubiquitination	E6477	E7014	1	0	biogrid	pmids:21057505
Ubiquitination	E8451	E81620	1	0	biogrid	pmids:14578910:15448697
Ubiquitination	E55743	E5347	1	0	biogrid	pmids:11807090
Ubiquitination	E8835	E2690	1	0	biogrid	pmids:21980433
Ubiquitination	E7323	E84959	1	0	biogrid	pmids:17588522
Ubiquitination	E23327	E2011	1	0	biogrid	pmids:19953087
Ubiquitination	E9616	E7316	1	0	biogrid	pmids:16874460
Phosphorylation	E11200	E2305	1	0	biogrid	pmids:17101782
Phosphorylation	E7132	E3551	1	0	biogrid	pmids:11002417
Phosphorylation	E26524	E7532	1	0	biogrid	pmids:21118956
Phosphorylation	E51701	E4602	1	0	biogrid	pmids:16055500:15082531
Phosphorylation	E5594	E5914	1	0	biogrid	pmids:12048211
Phosphorylation	E5610	E3608	1	0	biogrid	pmids:11438540
Ubiquitination	E4281	E3476	1	0	biogrid	pmids:22613722
Ubiquitination	E55167	E8349	1	0	biogrid	pmids:21726816
Phosphorylation	E207	E2932	1	0	biogrid	pmids:19995607:15470047:20856200:16123141:14645548:16009706
Phosphorylation	E207	E2931	1	0	biogrid	pmids:11509608:19995607:17505062:14645548
Acetylation	E11143	E8359	1	0	biogrid	pmids:19393168:20129055:15963510
Phosphorylation	E6908	E2957	1	0	biogrid	pmids:11278496
Ubiquitination	E7323	E4193	1	0	biogrid	pmids:15280377
Phosphorylation	E6872	E2957	1	0	biogrid	pmids:11278496
Sumoylation	E7341	E8189	1	0	biogrid	pmids:15561718
Phosphorylation	E472	E9810	1	0	biogrid	pmids:21362549
Phosphorylation	E9641	E5987	1	0	biogrid	pmids:16393995
Ubiquitination	E140462	E1159	1	0	biogrid	pmids:20302626
Ubiquitination	E140462	E1152	1	0	biogrid	pmids:20302626
Phosphorylation	E3932	E5921	1	0	biogrid	pmids:11389730
Ubiquitination	E117584	E8027	1	0	biogrid	pmids:22626734
Deubiquitination	E9958	E4088	1	0	biogrid	pmids:21947082
Ubiquitination	E51343	E7083	1	0	biogrid	pmids:17227951:14701726
Phosphorylation	E1457	E3065	1	0	biogrid	pmids:17827154:11602581:11327722
Phosphorylation	E1457	E3066	1	0	biogrid	pmids:20388487:17827154:22939629:12176973:12082111
Ubiquitination	E84708	E3739	1	0	biogrid	pmids:22889411
Phosphorylation	E120892	E10494	1	0	biogrid	pmids:20949042
Methylation	E55170	E121504	1	0	biogrid	pmids:18079182
Ubiquitination	E9810	E255626	1	0	biogrid	pmids:16307923
Phosphorylation	E891	E891	1	0	biogrid	pmids:8397207
Phosphorylation	E4792	E4793	1	0	biogrid	pmids:22081069
Ubiquitination	E4792	E4792	1	0	biogrid	pmids:10066434
