#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E156110	E60412	0	0	pmids:22190034
hiv_human	E1159	E155348	0	0	pmids:22190034
hiv_human	E155971	E26517	0	0	pmids:22190034
hiv_human	E155971	E2734	0	0	pmids:22190034
hiv_human	E155971	E1656	0	0	pmids:22190034
hiv_human	E155971	E7415	0	0	pmids:22190034
hiv_human	E155945	E83858	0	0	pmids:22190034
hiv_human	E155807	E1778	0	0	pmids:22190034
hiv_human	E155030	E3735	0	0	pmids:22190034
hiv_human	E155908	E28977	0	0	pmids:22190034
hiv_human	E155348	E6241	0	0	pmids:22190034
hiv_human	E155459	E8841	0	0	pmids:22190034
hiv_human	E155945	E490	0	0	pmids:22190034
hiv_human	E155348	E4173	0	0	pmids:22190034
hiv_human	E155348	E4170	0	0	pmids:22190034
hiv_human	E155348	E4176	0	0	pmids:22190034
hiv_human	E155348	E4175	0	0	pmids:22190034
hiv_human	E155807	E9318	0	0	pmids:22190034
hiv_human	E155971	E23065	0	0	pmids:22190034
hiv_human	E155348	E26953	0	0	pmids:22190034
hiv_human	E155348	E55127	0	0	pmids:22190034
hiv_human	E155871	E5496	0	0	pmids:22190034
hiv_human	E10313	E155945	0	0	pmids:22190034
hiv_human	E155971	E163590	0	0	pmids:22190034
hiv_human	E155348	E8803	0	0	pmids:22190034
hiv_human	E156110	E6389	0	0	pmids:22190034
hiv_human	E155971	E1825	0	0	pmids:22190034
hiv_human	E10498	E155348	0	0	pmids:22190034
hiv_human	E155348	E9373	0	0	pmids:22190034
hiv_human	E155908	E54732	0	0	pmids:22190034
hiv_human	E155971	E23118	0	0	pmids:22190034
hiv_human	E1117	E155971	0	0	pmids:22190034
hiv_human	E155807	E50628	0	0	pmids:22190034
hiv_human	E155871	E23524	0	0	pmids:22190034
hiv_human	E155459	E8065	0	0	pmids:22190034
hiv_human	E155871	E904	0	0	pmids:22190034
hiv_human	E155348	E7529	0	0	pmids:22190034
hiv_human	E155945	E9238	0	0	pmids:22190034
hiv_human	E155971	E54982	0	0	pmids:22190034
hiv_human	E10128	E155945	0	0	pmids:22190034
hiv_human	E155348	E51386	0	0	pmids:22190034
hiv_human	E155030	E51091	0	0	pmids:22190034
hiv_human	E155971	E6836	0	0	pmids:22190034
hiv_human	E155807	E51143	0	0	pmids:22190034
hiv_human	E10970	E155971	0	0	pmids:22190034
hiv_human	E155971	E821	0	0	pmids:22190034
hiv_human	E155030	E55623	0	0	pmids:22190034
hiv_human	E155971	E3689	0	0	pmids:22190034
hiv_human	E155945	E8945	0	0	pmids:22190034
hiv_human	E155971	E3106	0	0	pmids:22190034
hiv_human	E155971	E3683	0	0	pmids:22190034
hiv_human	E155807	E50717	0	0	pmids:22190034
hiv_human	E155871	E8237	0	0	pmids:22190034
hiv_human	E155971	E26521	0	0	pmids:22190034
hiv_human	E155030	E9967	0	0	pmids:22190034
hiv_human	E155348	E191	0	0	pmids:22190034
hiv_human	E155348	E29882	0	0	pmids:22190034
hiv_human	E147991	E155807	0	0	pmids:22190034
hiv_human	E155348	E56655	0	0	pmids:22190034
hiv_human	E155807	E8520	0	0	pmids:22190034
hiv_human	E155971	E9377	0	0	pmids:22190034
hiv_human	E155945	E57510	0	0	pmids:22190034
hiv_human	E155871	E4676	0	0	pmids:22190034
hiv_human	E155348	E201163	0	0	pmids:22190034
hiv_human	E155348	E9391	0	0	pmids:22190034
hiv_human	E155348	E5954	0	0	pmids:22190034
hiv_human	E155971	E51726	0	0	pmids:22190034
hiv_human	E155971	E3310	0	0	pmids:22190034
hiv_human	E155871	E23382	0	0	pmids:22190034
hiv_human	E1025	E155871	0	0	pmids:22190034
hiv_human	E155807	E7289	0	0	pmids:22190034
hiv_human	E155971	E6400	0	0	pmids:22190034
hiv_human	E155348	E3419	0	0	pmids:22190034
hiv_human	E156110	E4836	0	0	pmids:22190034
hiv_human	E155030	E5859	0	0	pmids:22190034
hiv_human	E155807	E8451	0	0	pmids:22190034
hiv_human	E155945	E64786	0	0	pmids:22190034
hiv_human	E155971	E488	0	0	pmids:22190034
hiv_human	E1508	E155348	0	0	pmids:22190034
hiv_human	E155971	E28639	0	0	pmids:22190034
hiv_human	E155807	E4728	0	0	pmids:22190034
hiv_human	E155971	E1861	0	0	pmids:22190034
hiv_human	E155971	E79709	0	0	pmids:22190034
hiv_human	E155348	E8924	0	0	pmids:22190034
hiv_human	E10956	E155971	0	0	pmids:22190034
hiv_human	E155971	E55768	0	0	pmids:22190034
hiv_human	E1312	E155807	0	0	pmids:22190034
